lat,lon,sza,lt,fmax,event,t_fdmax,t_rdmax,dt,pk
52.16,-106.53,99.58,21.9,2.56381e-05,2011-08-09 03:54:00,2011-08-09 03:30:13.837000,2011-08-09 03:49:42.407197,1168.57,39_sas
37.93,-75.47,94.29,7.18,2.60054e-05,2011-11-03 11:11:00,2011-11-03 11:02:52.913000,2011-11-03 11:08:25.247813,332.33,40_wal
38.86,-99.39,55.53,11.43,2.32352e-05,2011-02-14 17:26:00,2011-02-14 17:24:27.750000,2011-02-14 17:25:02.667519,34.92,43_fhe
38.86,-99.39,55.53,11.43,2.32352e-05,2011-02-14 17:26:00,2011-02-14 17:24:27.750000,2011-02-14 17:25:02.659521,34.91,43_fhw
52.16,-106.53,69.6,11.43,2.32352e-05,2011-02-14 17:26:00,2011-02-14 17:24:27.750000,2011-02-14 17:24:45.000248,17.25,43_sas
53.98,-122.59,76.85,9.43,2.32352e-05,2011-02-14 17:26:00,2011-02-14 17:24:27.750000,2011-02-14 17:24:48.000728,20.25,43_pgr
37.93,-75.47,38.84,12.97,2.2406300000000006e-05,2011-09-25 16:58:00,2011-09-25 16:46:01.160000,2011-09-25 16:56:47.076446,645.92,44_wal
38.86,-99.39,44.94,11.97,2.2406300000000006e-05,2011-09-25 16:58:00,2011-09-25 16:46:01.160000,2011-09-25 16:55:30.069521,568.91,44_fhe
38.86,-99.39,44.94,11.97,2.2406300000000006e-05,2011-09-25 16:58:00,2011-09-25 16:46:01.160000,2011-09-25 16:55:22.592584,561.43,44_fhw
53.32,-60.46,55.84,13.97,2.2406300000000006e-05,2011-09-25 16:58:00,2011-09-25 16:46:01.160000,2011-09-25 16:54:43.000178,521.84,44_gbr
49.39,-82.32,50.52,12.97,2.2406300000000006e-05,2011-09-25 16:58:00,2011-09-25 16:46:01.160000,2011-09-25 16:55:03.004969,541.84,44_kap
37.1,-77.95,107.08,19.6,2.18292e-05,2011-11-03 23:36:00,2011-11-03 23:23:01.207000,2011-11-03 23:29:24.367520,383.16,45_bks
53.32,-60.46,106.56,17.85,2.09583e-05,2011-12-29 21:51:00,2011-12-29 21:46:59.407000,2011-12-29 21:47:40.330693,40.92,46_gbr
38.86,-99.39,106.79,19.52,1.95417e-05,2011-02-09 01:31:00,2011-02-09 01:28:33.740000,2011-02-09 01:28:51.656681,17.92,47_fhw
37.93,-75.47,57.38,9.5,1.98985e-05,2011-03-07 14:30:00,2011-03-07 13:52:23.377000,2011-03-07 14:01:48.792004,565.42,48_wal
37.1,-77.95,58.41,9.5,1.98985e-05,2011-03-07 14:30:00,2011-03-07 13:52:23.377000,2011-03-07 13:52:42.919936,19.54,48_bks
52.16,-106.53,83.08,8.5,1.98985e-05,2011-03-07 14:30:00,2011-03-07 13:52:23.377000,2011-03-07 14:26:18.186628,2034.81,48_sas
53.98,-122.59,93.0,6.5,1.98985e-05,2011-03-07 14:30:00,2011-03-07 13:52:23.377000,2011-03-07 14:18:39.305654,1575.93,48_pgr
37.93,-75.47,59.6,13.62,0.00017983799999999998,2012-01-27 18:37:00,2012-01-27 18:08:38.730000,2012-01-27 18:15:33.000598,414.27,52_wal
37.1,-77.95,58.11,13.62,0.00017983799999999998,2012-01-27 18:37:00,2012-01-27 18:08:38.730000,2012-01-27 18:11:06.000656,147.27,52_bks
38.86,-99.39,57.38,12.62,0.00017983799999999998,2012-01-27 18:37:00,2012-01-27 18:08:38.730000,2012-01-27 18:13:16.962489,278.23,52_fhe
38.86,-99.39,57.38,12.62,0.00017983799999999998,2012-01-27 18:37:00,2012-01-27 18:08:38.730000,2012-01-27 18:15:11.769586,393.04,52_fhw
43.27,-120.36,65.61,10.62,0.00017983799999999998,2012-01-27 18:37:00,2012-01-27 18:08:38.730000,2012-01-27 18:21:43.146524,784.42,52_cve
43.27,-120.36,65.61,10.62,0.00017983799999999998,2012-01-27 18:37:00,2012-01-27 18:08:38.730000,2012-01-27 18:25:28.737764,1010.01,52_cvw
53.32,-60.46,78.0,14.62,0.00017983799999999998,2012-01-27 18:37:00,2012-01-27 18:08:38.730000,2012-01-27 18:11:23.000506,164.27,52_gbr
49.39,-82.32,68.9,13.62,0.00017983799999999998,2012-01-27 18:37:00,2012-01-27 18:08:38.730000,2012-01-27 18:17:23.010212,524.28,52_kap
52.16,-106.53,71.16,12.62,0.00017983799999999998,2012-01-27 18:37:00,2012-01-27 18:08:38.730000,2012-01-27 18:13:09.000197,270.27,52_sas
37.93,-75.47,16.58,12.82,0.000142294,2012-07-12 16:49:00,2012-07-12 16:12:01.530000,2012-07-12 16:17:23.017472,321.49,53_wal
37.1,-77.95,16.46,12.82,0.000142294,2012-07-12 16:49:00,2012-07-12 16:12:01.530000,2012-07-12 16:16:35.292070,273.76,53_bks
38.86,-99.39,29.74,11.82,0.000142294,2012-07-12 16:49:00,2012-07-12 16:12:01.530000,2012-07-12 16:16:38.159400,276.63,53_fhe
43.27,-120.36,46.07,9.82,0.000142294,2012-07-12 16:49:00,2012-07-12 16:12:01.530000,2012-07-12 16:12:20.902779,19.37,53_cve
43.27,-120.36,46.07,9.82,0.000142294,2012-07-12 16:49:00,2012-07-12 16:12:01.530000,2012-07-12 16:18:26.822594,385.29,53_cvw
52.16,-106.53,40.86,10.82,0.000142294,2012-07-12 16:49:00,2012-07-12 16:12:01.530000,2012-07-12 16:12:21.110671,19.58,53_sas
53.98,-122.59,50.29,9.82,0.000142294,2012-07-12 16:49:00,2012-07-12 16:12:01.530000,2012-07-12 16:12:33.097004,31.57,53_pgr
37.93,-75.47,144.8,23.15,0.000114173,2012-03-05 04:09:00,2012-03-05 03:29:00.187000,2012-03-05 04:07:24.000472,2303.81,55_wal
38.86,-99.39,131.14,22.15,0.00011417299999999999,2012-03-05 04:09:00,2012-03-05 03:29:00.187000,2012-03-05 03:50:47.641586,1307.45,55_fhw
49.39,-82.32,132.41,23.15,0.000114173,2012-03-05 04:09:00,2012-03-05 03:29:00.187000,2012-03-05 04:03:15.008177,2054.82,55_kap
