lat,lon,sza,lt,fmax,event,t_fdmax,t_rdmax,dt,pk
56.38,-94.64,139.75,23.23,0.000114341,2013-11-10 05:14:00,2013-11-10 05:10:55.277000,2013-11-10 05:11:13,17.72,109_gill
60.02,-111.95,132.2,22.23,0.00011434100000000001,2013-11-10 05:14:00,2013-11-10 05:10:55.277000,2013-11-10 05:11:33,37.72,109_fsmi
56.66,-111.21,135.03,22.23,0.000114341,2013-11-10 05:14:00,2013-11-10 05:10:55.277000,2013-11-10 05:12:13,77.72,109_mcmu
69.54,-93.55,112.91,20.05,0.000102546,2013-10-28 02:03:00,2013-10-28 01:44:29.260000,2013-10-28 01:59:07,877.74,110_talo
56.38,-94.64,117.39,21.05,0.000102546,2013-10-28 02:03:00,2013-10-28 01:44:29.260000,2013-10-28 01:46:37,127.74,110_gill
64.05,-139.11,95.67,19.05,0.000102546,2013-10-28 02:03:00,2013-10-28 01:44:29.260000,2013-10-28 01:56:37,727.74,110_daws
50.02,-96.04,98.91,18.82,0.000497943,2014-02-25 00:49:00,2014-02-25 00:43:14.477000,2014-02-25 00:45:52,157.52,150_pina
56.38,-94.64,100.04,18.82,0.000497943,2014-02-25 00:49:00,2014-02-25 00:43:14.477000,2014-02-25 00:43:37,22.52,150_gill
64.05,-139.11,82.14,16.82,0.000497943,2014-02-25 00:49:00,2014-02-25 00:43:14.477000,2014-02-25 00:47:12,237.52,150_daws
61.76,-121.23,87.65,17.82,0.000497943,2014-02-25 00:49:00,2014-02-25 00:43:14.477000,2014-02-25 00:45:52,157.52,150_fsim
60.02,-111.95,91.58,17.82,0.000497943,2014-02-25 00:49:00,2014-02-25 00:43:14.477000,2014-02-25 00:43:32,17.52,150_fsmi
62.82,-92.11,86.44,16.68,0.00031952,2014-10-24 21:41:00,2014-10-24 21:02:00.257000,2014-10-24 21:24:11,1330.74,151_rank
64.05,-139.11,76.34,14.68,0.00031952,2014-10-24 21:41:00,2014-10-24 21:02:00.257000,2014-10-24 21:26:41,1480.74,151_daws
58.22,-103.68,79.27,15.68,0.00031952,2014-10-24 21:41:00,2014-10-24 21:02:00.257000,2014-10-24 21:35:46,2025.74,151_rabb
